Code,Borough,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),conf %,Pay (£),Pay (£)
00AC,Barnet,499.1,4.2,529.5,5.0,531.8,5.4,546.5,4.8,553.5,4.2,551.7,5.2,588.8,4.4,622.1,3.8,616.6,4.1,621.4,3.8,596.8,681.0
00AD,Bexley,464.6,3.6,494.1,4.0,490.2,4.5,517.1,3.2,527.0,3.8,546.2,4.0,591.0,3.9,575.2,4.3,596.6,3.6,609.0,3.4,611.8,670.8
00AE,Brent,428.4,3.9,421.0,4.4,451.7,4.4,460.0,4.3,460.1,4.6,479.1,3.8,513.6,4.0,525.3,3.6,517.5,3.8,498.3,3.8,542.8,610.2
00AF,Bromley,506.1,4.2,537.4,4.5,531.9,4.1,566.3,3.8,574.8,4.4,609.0,4.3,643.0,4.2,644.9,4.1,651.6,3.6,653.5,2.9,670.8,790.5
00AG,Camden,542.7,6.0,538.8,6.5,547.7,5.6,595.0,5.6,608.8,4.9,637.8,4.9,695.9,5.5,710.1,4.6,648.0,6.1,681.0,5.3,694.6,794.7
00AH,Croydon,461.2,3.7,479.8,3.9,486.1,3.3,507,3.8,505.4,3.2,526.9,3.8,553.2,4.0,568.3,3.2,583.6,2.5,574.9,3.4,579.9,670.8
00AJ,Ealing,472.4,4.0,479.8,2.7,483.9,3.4,491.1,3.3,505.7,3.4,530.9,3.7,556.1,3.6,559.7,3.3,564.4,3.6,574.9,3.2,565.7,621.7
00AK,Enfield,442.8,4.7,461.6,4.7,476.7,5.6,490.1,4.9,501.6,4.7,517.5,4.0,517.6,5.6,546.1,4.4,561.2,4.2,555.9,3.7,555.0,635.7
00AL,Greenwich,472.5,5.8,497.1,5.1,504.2,4.7,496.4,4.2,516.7,4.6,546.0,5.0,575.0,5.3,601.1,3.6,600.1,4.0,596.3,4.4,583.9,679.3
00AM,Hackney,455.9,6.3,460.7,5.1,460.3,5.1,497.3,4.0,486.3,4.5,527.9,4.9,555.9,5.3,572.9,4.5,582.6,4.5,610.6,3.8,597.2,703.7
00AN,Hammersmith and Fulham,550.5,5.9,541.8,4.8,590.3,5.4,568.3,6.6,607.5,5.1,613.9,6.9,661.1,7.0,670.8,6.3,658.9,5.1,649.3,5.3,692.1,792.6
